,node_id,value,type
73047,73047,holidayoffer.adigi.ai,benign
73057,73057,apicms.thestar.com.my,benign
73096,73096,m.ateliealmeidajuniorartes.com.br,benign
73130,73130,mamacitafit.com.br,benign
73161,73161,tryhard.cc,malicious
73183,73183,megaproaktiv.de,benign
73193,73193,www.drtusafishing.com,benign
73210,73210,zvapmat.edu.al,benign
73276,73276,gyg.org.au,benign
73278,73278,www.teschner.com.au,benign
73297,73297,cpanel.pozzobomprefeito45.com.br,benign
73324,73324,www.casinotoponline.ca,malicious
73347,73347,cpcontacts.dedetizadoraemguarulhos.eco.br,benign
73382,73382,activevista.com.au,benign
73403,73403,shiibun.cf,malicious
73463,73463,servetreklam.com,malicious
73496,73496,4cotawee.xyz,malicious
73516,73516,mail.orosimothalis.gr,malicious
73576,73576,mashigetai.cf,malicious
73595,73595,sushiclass.pt,malicious
73610,73610,begofodota.cf,benign
73621,73621,asiaretailconnection.ac.al,benign
73637,73637,ifurb.com.au,benign
73682,73682,waws-prod-se1-005.cloudapp.net,benign
73701,73701,hawttt.com.au,benign
73714,73714,511on.ca,benign
73724,73724,analytics.krisp.ai,benign
73794,73794,ketnetradio.be,benign
73843,73843,ww2.animeram.cc,benign
73866,73866,dunasdoradas.com.ar,benign
73899,73899,dwincorp.com.br,benign
73913,73913,assets-liveblog.nmo.at,malicious
73939,73939,mail.clubedalili.com.br,malicious
73952,73952,thisw.as,benign
73958,73958,autodiscover.vouaprendertocar.com.br,benign
73993,73993,www.marcedv.at,benign
74178,74178,portaldocloud.com.br,malicious
74187,74187,webdisk.successwithcancer.ca,malicious
74221,74221,nascerpsiparatodos.com.br,benign
74238,74238,static.vtevents.com.au,benign
74242,74242,www.smartbuyer.cc,malicious
74251,74251,cidadevivaresidencial.com.br,benign
74287,74287,beethere.com.au,benign
74433,74433,www.digitalforge.ae,benign
74456,74456,zgd.com.au,benign
74491,74491,updates-info-co-jp.world,malicious
74521,74521,www.sittr.com.au,benign
74611,74611,mc.galaxyhq.cf,benign
74630,74630,hotoffermall.com.ng,benign
74638,74638,services.oldschool.com-ut.ru,benign
74645,74645,admin.publishing.tamedia.ch,benign
74658,74658,ark-khung.cf,malicious
74711,74711,filecon.at,benign
74731,74731,famiko.al,benign
74741,74741,neutralbaydental.com.au,benign
74746,74746,clickfotoseproducoes.com.br,benign
74778,74778,aspectlegal.com.au,benign
74866,74866,aseptinox.com.ar,benign
74881,74881,eqwateur.fr,benign
74936,74936,hifen.com.br,benign
74983,74983,valccbazar.cc,malicious
74998,74998,www.leahousebandb.com,benign
75004,75004,recargapay.com.ar,benign
75008,75008,hiaeprcc.com.br,benign
75013,75013,skrzycznekc.cf,malicious
75078,75078,perfectwares.com,malicious
75092,75092,jecontabilidade.com.br,benign
75124,75124,dev-patient-app.medisci.io,malicious
75137,75137,www.ecemfoco.com.br,benign
75197,75197,instagram-copyright-appeal-form.ml.support-center-portal.com,benign
75238,75238,eseagalcosa.cf,benign
75286,75286,webmail.brasildrop.com.br,benign
75295,75295,login.centralbanking.io,malicious
75319,75319,jopron.cf,malicious
75325,75325,naoah.com,malicious
75336,75336,www.magma-groupe.com,benign
75393,75393,www.yellowenglish.com.br,benign
75420,75420,webdisk.webcheap.in,benign
75421,75421,xkqoabooks.cf,malicious
75457,75457,api.gb-sp.channel.or.jp,benign
75560,75560,www.medicosfamiliares.com,benign
75595,75595,babyfoot.com.au,benign
75601,75601,www.hillstire.com,benign
75684,75684,poialtropeiro.com.br,benign
75726,75726,alpha-air.com.au,benign
75737,75737,jpgudcb.owly.fxtokeninvest.com,benign
75781,75781,innablr.com.au,benign
75788,75788,congealylm.cf,malicious
75820,75820,www.telecomtimes.com.au,benign
75827,75827,farmaciacentralpb.com.br,benign
75859,75859,mail.bleyseguros.com.br,benign
75868,75868,www.pins.bhealt.com,malicious
75880,75880,yd2.zayrax1.cf,malicious
75900,75900,boxfitness.com.br,benign
75988,75988,libre2lire.fr,malicious
76113,76113,wynk.in,benign
76172,76172,televisionenvivo-internet.online,benign
76196,76196,www.de6.quickconnect.to,benign
76213,76213,www.rtvalhaurinelgrande.com,benign
76219,76219,mail.kraken.com.co,malicious
76241,76241,espaicanpages.com,malicious
76242,76242,mandurahforum.com.au,benign
76261,76261,www.double3media.com,malicious
76336,76336,mail.practicalentrepreneurship.co,malicious
76398,76398,sin.am,benign
76427,76427,s27602.pcdn.co,benign
76434,76434,www.bibliobox.numerimix.fr,benign
76458,76458,au.xporn.com,benign
76472,76472,switchboard.ai,malicious
76482,76482,goratools.co,malicious
76564,76564,cpcontacts.suame.com.co,malicious
76574,76574,ns1.billabongretreat.com.au,benign
76581,76581,mail.promotive.com.ar,benign
76585,76585,muster-patientenverfuegung.ac.al,benign
76587,76587,vlasovs.tk,malicious
76621,76621,webmail.thpm.at,malicious
76649,76649,iunigo.com.ar,benign
76657,76657,taobaoagent.com.my,benign
76727,76727,secaspriority.com.br,benign
76832,76832,veelectrical.com.au,benign
76871,76871,www.cuit.com.ar,benign
76915,76915,www.re-premium.pagerival.com,malicious
76922,76922,dentalmed.fr,malicious
76939,76939,globalui.k12.com,benign
76950,76950,intesaisp.gruppoalet.ga,malicious
77042,77042,www.plantconcierge.com.au,benign
77047,77047,tribunal-commerce.fr,malicious
77081,77081,www.hdwallpapers.cc,malicious
77117,77117,hmsa.com.ar,benign
77122,77122,media-files-production-cdn.mitene.us,benign
77153,77153,dd.com.co,malicious
77157,77157,ozguvenbir.tk,malicious
77209,77209,www.azhealth.com.au,benign
77302,77302,www.tsplus.vn,malicious
77381,77381,imerys-avezzano.metronlab.eu,benign
77403,77403,www.123hjemmeside.dk,benign
77404,77404,academiaprovale.com.br,benign
77452,77452,s4769.pcdn.co,benign
77482,77482,calinoria.com,malicious
77532,77532,webmail.azpress.az,benign
77535,77535,cosdesign.be,malicious
77561,77561,www.softinside.com.br,benign
77609,77609,ns1.flyballoon.com.br,benign
77683,77683,720bourke.com.au,benign
77734,77734,microfrontend.cloud.itau.com.br,benign
77788,77788,auth.hq2-dev.webscale.fi,benign
77789,77789,cpcalendars.giovanni.am,benign
77797,77797,nasini.com.ar,benign
77951,77951,autodiscover.dzfapk.com,malicious
77966,77966,veneusa.co,malicious
78025,78025,www.retrowielershirts.be,malicious
78034,78034,netball.draftcentral.com.au,benign
78039,78039,enzel.com.au,benign
78063,78063,www.timepulse.run,benign
78110,78110,doqa.be,benign
78187,78187,jumbocatalogo.cl,malicious
78196,78196,acicr.ca,benign
78252,78252,is24.at,benign
78282,78282,mercyclinic.okdok.co,benign
78301,78301,anellepsicologia.com.br,benign
78381,78381,accesspoint.com.au,benign
78450,78450,hs.current-personal.com,malicious
78507,78507,www.help.linkspreed.cf,malicious
78677,78677,ns1.danieldangelo.com.br,benign
78709,78709,foodtruckssydney.com.au,benign
78727,78727,www.kanalis.be,benign
78819,78819,nicstore.com.br,benign
78925,78925,tales.as,malicious
78954,78954,marmorariavjf.com.br,benign
78978,78978,isharework.com.au,benign
78994,78994,don.ai,malicious
79118,79118,huurlesdunes.be,benign
79131,79131,mail.carscrap.ae,malicious
79216,79216,themusicplayground.disco.ac,benign
79223,79223,perinatalite.bzh,malicious
79233,79233,mirao.com.br,benign
79252,79252,trijanabpa.cf,malicious
79271,79271,cpcalendars.valccbazar.cc,malicious
79293,79293,mail.cryptoforex.ai,malicious
79396,79396,video.alannahhill.com.au,benign
79437,79437,mail.frighthre.cf,malicious
79442,79442,abisystemelevadores.com.br,benign
79480,79480,cpanel.successwithcancer.ca,malicious
79505,79505,rodolfovieira.com.br,benign
79512,79512,ontrip.mycafe24.com,benign
79629,79629,webdisk.pontopolitico.com.br,benign
79655,79655,smarttechbrief.com,malicious
79699,79699,orthotica.com.au,benign
79742,79742,www.millercontracting.ca,malicious
79808,79808,www.fishandtest.com,benign
79821,79821,hornsbyelectric.com.au,benign
79832,79832,seicomla.cf,benign
79883,79883,www.new-year.bz,benign
79889,79889,cpcontacts.incad.com.co,malicious
79911,79911,autodiscover.madonasilva.com.br,benign
80039,80039,cpanel.movimientounidadsindical.com.ar,benign
80054,80054,www.abcresto.be,benign
80122,80122,fe-acc18.kz,malicious
80152,80152,bolboretavla.com.ar,benign
80243,80243,estudiofacil.com.br,benign
80261,80261,ee-securehub.com,malicious
80281,80281,celam.com.ar,benign
80288,80288,lambda.estantevirtual.com.br,benign
80338,80338,general-auto-insurance-quotes.co,malicious
80377,80377,mail.alisoy.az,benign
80389,80389,elcuzco.com.ar,benign
80392,80392,www.ceuprofundo.com.br,malicious
80407,80407,puckettieb.cf,malicious
80429,80429,storage.upscope.io,benign
80449,80449,raskitchens.com,benign
80469,80469,connectingthings.io,malicious
80487,80487,mythreeupdate-uksecure.com,malicious
80492,80492,autodiscover.vamoscomtudo.com.br,benign
80508,80508,sydneycoveoysterbar.com.au,benign
80561,80561,unimouvacadieacces.com,malicious
80649,80649,lowojusu.com,benign
80663,80663,eduo.co.kr,benign
80665,80665,www.spd-kevelaer.de,benign
80728,80728,www.www.files.nhs-nelcsu.onereach.ai,malicious
80744,80744,www.dibco01.bitsupport.cl,malicious
80841,80841,mail.levgestaoesportiva.com.br,benign
80854,80854,beyond-mms.iis2.staging.beyondd.com.au,benign
80866,80866,cdn.caldeiraomistico.com.br,benign
80874,80874,jagocorfive.cf,malicious
80899,80899,cdn.console.com.au,benign
80909,80909,pickloveshares.com,malicious
80922,80922,www.henriqueguimaraes.com.br,benign
80982,80982,acessibilidadebr.com.br,benign
81020,81020,trk-log.theknitkitstore.com,malicious
81144,81144,auth.itg.passregi.devio.jp,benign
81195,81195,xjav99.cc,malicious
81197,81197,cpanel.calgarywiki.ca,benign
81204,81204,www.lena-sophie.at,malicious
81214,81214,www.lunimedia.com,malicious
81218,81218,npi.com.bo,benign
81222,81222,wagnersolutions.at,malicious
81266,81266,hydraruzxpnew4af.cc,malicious
81268,81268,automotivepowertrain.com,benign
81358,81358,cdn.baelebvba.be,benign
81362,81362,complexpsychology.com.au,benign
81377,81377,mail.foxnap.com,malicious
81384,81384,remotelearning.ae,malicious
81431,81431,sarahjanecreates.co.uk,benign
81464,81464,ns2.mmjcanada.ca,benign
81479,81479,zaikasalacoius.com.au,benign
81489,81489,businessintesa.gruppoalet.ga,malicious
81554,81554,www.granqualli.com.br,benign
81632,81632,dnsubscribe.com,benign
81641,81641,trade.biteeu.com.au,benign
81660,81660,ezisearch.com.au,benign
81671,81671,auth.airnewzealand.com.au,benign
81688,81688,ssc.glamourmagazine.co.uk,benign
81689,81689,rewardsource.com.au,benign
81755,81755,oleumenergy.com.au,benign
81767,81767,www.blauerberg.com.br,benign
81772,81772,beccar-marketplace.com.ar,benign
81825,81825,radiofuturo.com.br,benign
81888,81888,bonanzasolar.com.br,benign
81901,81901,www.melbourneorthopaedicsurgeon.com.au,benign
81904,81904,mail.dowlingmaitland.com.au,benign
81926,81926,kuube.com.au,benign
81927,81927,mail.aadharcardonlinestatus.co.in,malicious
81976,81976,blue41.dnsworld.co.in,malicious
81980,81980,www.joseph.rezeau.pagespersoorange.fr,malicious
81998,81998,spreadme.digital,malicious
82018,82018,option-binaire.org,malicious
82026,82026,tesidenhadis.cf,benign
82052,82052,fafainformatica.com.br,benign
82071,82071,www.totalsportek.com,benign
82118,82118,penshi.cf,malicious
82126,82126,everlab.com.br,benign
82242,82242,www.forge.ai,benign
82248,82248,mc-warmup95.pagespersoorange.fr,malicious
82308,82308,fotografen.be,benign
82317,82317,ceuprofundo.com,malicious
82375,82375,incometaxreturns.com.au,benign
82503,82503,skipp.ai,benign
82561,82561,liquoramerica.ac.al,benign
82622,82622,cpcontacts.gympropiedades.cl,malicious
82646,82646,sharktankketodiet.cf,malicious
82694,82694,compu-center.com.ar,benign
82732,82732,epicb.co.uk,benign
82749,82749,static01.ofertia.cl,benign
82752,82752,www.lloyds.online-devices.co.uk,malicious
82764,82764,velozh.ch,benign
82794,82794,www.thegreenfridge.ae,malicious
82810,82810,poderenoticia.com.br,benign
82840,82840,webdisk.nocomment.az,benign
82841,82841,kubuqobecyc.cf,malicious
82842,82842,buyeurodocumentsonline.com,benign
82919,82919,www.glaucilandia.mg.gov.br,benign
82920,82920,www.static.master.pre-prod.env.mmr.io,benign
82951,82951,balancebusiness.com.au,benign
82993,82993,sleepingbagsforhomelessness.org.au,benign
83079,83079,conarmas.com.br,benign
83120,83120,gideonmulinde.org,malicious
83191,83191,mail.ajenjo.com.co,malicious
83207,83207,www.teutonica.be,malicious
83264,83264,summerolympicstokyo2021.com,malicious
83275,83275,alapisloja.com.br,benign
83284,83284,saludtotal.com.co,benign
83359,83359,fmproperties.com.bd,benign
83415,83415,www.alt.ac,benign
83439,83439,seah.sentri360.ai,benign
83453,83453,dreskandor.cf,malicious
83521,83521,store.goratools.co,malicious
83542,83542,www.inta.edu.br,benign
83621,83621,ifihoros.cf,malicious
83747,83747,cas.thm.de.servisedesk.me,malicious
83754,83754,walking-api.asqq.io,benign
83821,83821,sainte-catherine.demenagement-express.ca,malicious
83828,83828,www.analuciadasilvaflorencio.site.ntr.br,malicious
83831,83831,duromineonline.com,malicious
83838,83838,dev-app.udl.ai,benign
83870,83870,paycode.com.mx,benign
83926,83926,westcoastcaravanhire.com.au,benign
83975,83975,www.madpaws.com.au,benign
83987,83987,paqtc.org.br,benign
84006,84006,snips.ai,benign
84009,84009,www.the-dharma-store.com,benign
84079,84079,blue4.dnsworld.co.in,malicious
84100,84100,webmail.epicstudios.com.au,benign
84112,84112,ac-shared-webchat-adapter.rozie.ai,benign
84146,84146,mail.imimmigrant.ca,malicious
84235,84235,sedn.ai,malicious
84347,84347,wielkiego.pl,malicious
84351,84351,bancosatanderhelp.com,malicious
84407,84407,www.chateaudebeloeil.com,benign
84446,84446,roahosoze.cf,malicious
84483,84483,lumyno.com.br,benign
84518,84518,porch.cf,malicious
84575,84575,espacobelezadiaria.com.br,benign
84640,84640,ns2.freefirebr.com.br,benign
84682,84682,lamajamayoristas.com.ar,benign
84684,84684,trevorlee.ca,malicious
84745,84745,gateway.ca.mylo.ai,benign
84787,84787,ambientedigital.sebrae-rs.com.br,benign
84839,84839,xn--marianomio-19a.com.ar,benign
84879,84879,login.amazonsecure.co.jp.sec0kshdjs1nmdsfivrkj9ipdf6h5teeguvyyj.tk,malicious
84894,84894,ns2.acheimeusoculos.com.br,benign
84929,84929,san.ae,malicious
85032,85032,zaidistudios.com,malicious
85050,85050,arkham.be,benign
85061,85061,www.evoluflor.fr,benign
85107,85107,www.korrbc.ca,benign
85241,85241,guthzries.cf,malicious
85260,85260,odiseajournal.com,benign
85275,85275,cpcontacts.saudediferenciada.com.br,benign
85318,85318,cdn-web.viago.io,benign
85343,85343,boatbrasil.com.br,benign
85349,85349,deferit.com.au,benign
85410,85410,friendsofmercyhurstrowing.com,benign
85420,85420,qiwywuy.xyz,malicious
85426,85426,mail.autec.cc,malicious
85462,85462,assuhamapo.cf,malicious
85469,85469,mail.kitapci.ml,malicious
85486,85486,elemagelan.cf,benign
85524,85524,autodiscover.gteagle.com.br,benign
85533,85533,taysirmicrofinance.com,benign
85543,85543,webmail.fortelocadora.com.br,benign
85554,85554,thankpredon.cf,malicious
85597,85597,jogobonito.com.ar,benign
85619,85619,trader25.com,malicious
85650,85650,s31150.pcdn.co,benign
85654,85654,www.dietaereceitas.com.br,benign
85689,85689,s7776.pcdn.co,benign
85733,85733,www.abatherapyintoronto.ca,benign
85867,85867,tucomercio.com.ar,benign
85875,85875,nakruti.cf,malicious
85899,85899,cpcontacts.sucessonasrelacoes.com.br,benign
85947,85947,webdisk.auditax.com.co,malicious
85954,85954,romensnu.cf,malicious
86065,86065,login.febracis.com.br,benign
86102,86102,pub.lucidpress.com,benign
86166,86166,zugnachberlin.de,malicious
86178,86178,srb-master.com,malicious
86185,86185,taxadviserseurope.org,malicious
86187,86187,blockchainoflogistics.com,benign
86205,86205,loja.gkpb.com.br,benign
86252,86252,webmail.impulsadas.com.ar,malicious
86254,86254,batnelora.cf,benign
86257,86257,garderielemonde.ca,malicious
86265,86265,clubejem.com.br,benign
86272,86272,media.onlinepr.com.au,malicious
86286,86286,autodiscover.cuit.com.ar,benign
86336,86336,cpcalendars.blauerberg.com.br,benign
86391,86391,hugo-quickstart.53north.io,benign
86446,86446,pontopolitico.com.br,benign
86457,86457,s15.leylax5.cf,benign
86534,86534,en.2.staging.cloud.seek.com.au,benign
86541,86541,qcrete.com.au,benign
86555,86555,pi.logan-dev.cf,malicious
86561,86561,reliecheck.com.au,benign
86568,86568,teohapman.mx,malicious
86580,86580,www.mhkdszjdva.london,benign
86599,86599,tipple.com.au,benign
86638,86638,fairfax.com.au,benign
86674,86674,nomadecuadernos.com.ar,benign
86709,86709,www.cianingucu.cf,malicious
86812,86812,javxyz.cc,malicious
86836,86836,lapdepapel.com.ar,benign
86858,86858,roupalavada.com.br,benign
86880,86880,authnew-payee.link,malicious
86906,86906,guidetocannabis.ca,benign
86964,86964,pangaeax.in,benign
87055,87055,www.portalminassaude.com.br,malicious
87100,87100,plenulin.cf,malicious
87129,87129,roberthalf-cs.it,malicious
87156,87156,ducao.com.br,benign
87241,87241,www.guarderia.wuff.com.co,malicious
87256,87256,www.merchtemcats.be,malicious
87279,87279,www.hotel.com.br,benign
87328,87328,autodiscover.kraken.com.co,malicious
87356,87356,riuxwvo.weinhart-hospital.com,malicious
87373,87373,adeusdiabetes.com.br,benign
87415,87415,auth0.com,benign
87467,87467,podovi-plochki.bg,malicious
87504,87504,tzscholars.com,malicious
87509,87509,ftp.portalminassaude.com.br,malicious
87585,87585,nurofenclassaction.com.au,benign
87621,87621,lostparadise.com.au,benign
87800,87800,sebrae-rs.com.br,malicious
87832,87832,rhiexs.ae,malicious
87838,87838,www.smarttechbrief.com,malicious
87946,87946,service.oldschool.com-sd.ru,malicious
87986,87986,shops.ae,benign
87987,87987,stayhappy.ai,benign
87989,87989,ricardoazevedodesouza.website.med.br,benign
88016,88016,www.nikeoutlet.com.ar,benign
88052,88052,db.tahp.it,benign
88059,88059,wapps.xyz,malicious
88116,88116,chef.am,benign
88194,88194,subscriptioncenter.gop.com,benign
88207,88207,hiitstation.com.au,benign
88241,88241,cheapsneaks.co.uk,benign
88245,88245,practiclick.xyz,malicious
88300,88300,religionhrd.cf,malicious
88323,88323,wongbelejoor.ml,malicious
88355,88355,mail.infolicious.co,malicious
88386,88386,cdn.capitaleconomics.blaize.io,benign
88436,88436,www.minutoar.com.ar,benign
88452,88452,fosterinteriors.com.au,benign
88492,88492,media.alannahhill.com.au,benign
88500,88500,lixb.com,malicious
88536,88536,ovalspace.co,malicious
88562,88562,pinheirense.com.br,benign
88565,88565,biph.instear.com.ar,benign
88734,88734,terapeutavibracional.com.br,benign
88762,88762,www.hdwallpaper.co,malicious
88793,88793,marketing.scyla.com.br,malicious
88796,88796,tagtalk.ai,benign
88799,88799,www.ueberfuhr.at,benign
88835,88835,www.biz.matchbox.jp,benign
88863,88863,fastbanner.com.br,benign
88931,88931,mail.imwo.org.in,benign
88941,88941,boletos.webcomunica.com.br,benign
88984,88984,profsusihe.cf,malicious
89001,89001,consoleretro.net,malicious
89040,89040,tokyo2021olympicgames.com,malicious
89130,89130,nuretsukei.cf,malicious
89160,89160,pieravefilms.com,malicious
89205,89205,srv20.funecpronatec.com.br,benign
89221,89221,webdisk.boatcarpet.com.au,benign
89222,89222,andreakajump.com,malicious
89394,89394,cpcontacts.wishop.com.co,malicious
89403,89403,rosehillbowlingclub.com.au,benign
89440,89440,www.mycelebs.ai,benign
89501,89501,3.staging.cloud.seek.com.au,benign
89557,89557,amopomse.cf,benign
89562,89562,astapenmefuz.cf,malicious
89569,89569,connect-rectify.com,malicious
89613,89613,stillu.cc,malicious
89629,89629,tigger.pop.com.au,benign
89634,89634,www.digital.digital-rectify.com,malicious
89674,89674,nirilawarre.cf,malicious
89759,89759,cpcalendars.formadent.ca,malicious
89871,89871,webmail.levgestaoesportiva.com.br,benign
89964,89964,consigliere.net.au,benign
89976,89976,ota.cdn.bose.io,benign
90052,90052,www.vloerders.be,benign
90080,90080,yigou.com.au,benign
90099,90099,epicwin.cc,malicious
90159,90159,uladinod.cf,malicious
90166,90166,www.ecogamma.be,malicious
90208,90208,targeting.vdo.ai,benign
90222,90222,agmap.com.br,benign
90259,90259,www.microsoftaccessibility.ai,malicious
90263,90263,mantisinnovations.com.au,benign
90327,90327,hit.ai,malicious
90338,90338,advancedhealth.ca,benign
90345,90345,www.bluen.co.kr,malicious
90348,90348,www.abilex.com.au,benign
90351,90351,mail.aaa-z.com,malicious
90387,90387,bitnaloti.cf,malicious
90469,90469,pundix.com,malicious
90486,90486,omelchen.co,benign
90491,90491,coralinformatica.com.br,benign
90539,90539,aartedamusicaoficial.com.br,malicious
90552,90552,www.docteur-sechaud.com,benign
90574,90574,webdisk.cielofalla.com,malicious
90578,90578,www.webanywhere.be,benign
90583,90583,dzutabunmo.cf,malicious
90628,90628,donaa.ai,benign
90659,90659,northstar.com.au,benign
90668,90668,gtahomevalue.ca,benign
90703,90703,mx2.dowlingmaitland.com.au,benign
90716,90716,autodiscover.vcsempatrao.com.br,benign
90764,90764,knifupecem.cf,malicious
90776,90776,old.felipelorenzo.com.br,benign
90805,90805,www.centrepointoms.ca,malicious
90835,90835,kuberaccountants.com.au,malicious
90848,90848,grandinvestmentproperty.com,malicious
90849,90849,cpcontacts.seumarketingprospero.com.br,benign
90929,90929,cpcalendars.vitole.com.co,malicious
90938,90938,ns2.publicidade.abc.br,benign
90945,90945,occupationaltherapyballarat.com.au,benign
90946,90946,enevamba.cf,malicious
91063,91063,static.finnhub.io,malicious
91095,91095,stvveiculos.com.br,benign
91123,91123,kbre.com.au,benign
91177,91177,dirtymarie.com.ar,benign
91202,91202,webdisk.sucessonasrelacoes.com.br,benign
91358,91358,pulsonoticias.com.ar,benign
91443,91443,valmo.com.ar,benign
91464,91464,humon.net,malicious
91474,91474,www.tonypacepainting.com.au,benign
91511,91511,www.simplyunique.ca,malicious
91539,91539,qacecajise.cf,malicious
91574,91574,relogioexpress.com.br,benign
91656,91656,growth.ac,benign
91660,91660,ownforest.co.kr,benign
91721,91721,moreiraguimaraes0562.org.br,benign
91725,91725,nadocke.ru,malicious
91736,91736,aws.itransparencia.com.br,benign
91753,91753,revolut.gb-support.co,malicious
91800,91800,cpcontacts.webcheap.in,malicious
91803,91803,belgiumconventionbureau.be,malicious
91847,91847,apetopia.com.br,malicious
91879,91879,azanlyomera.cf,malicious
91915,91915,wholehu.com,malicious
91967,91967,fernandoholiday.com.br,benign
91974,91974,paineldosistema.com.br,benign
92029,92029,autodiscover.rxapotheke.eu,malicious
92052,92052,bosscabinets.com.au,benign
92054,92054,creasuatalox.cf,malicious
92075,92075,ruedadeprensa.com.ar,benign
92085,92085,sephora.com.br,benign
92093,92093,cdn.adelantos.com.ar,benign
92120,92120,downbarfacan.cf,benign
92123,92123,www.infocity.az,benign
92133,92133,cms.blueberry.ae,benign
92157,92157,smtp.ziegler.co,benign
92182,92182,talltimbersmanjimup.com.au,benign
92226,92226,mc.logan-dev.cf,malicious
