source,target,type
305597,211017,apex
207514,259776,apex
141716,211807,apex
207202,274836,apex
141650,88207,apex
141645,310656,apex
272716,275419,apex
141637,174763,apex
174404,143614,apex
108856,293752,apex
305453,309616,apex
207116,274836,apex
272647,118711,apex
239982,177449,apex
207099,220778,apex
141998,249689,apex
76472,188078,apex
273245,282518,apex
142167,152540,apex
207698,259358,apex
76621,259358,apex
305988,321336,apex
305988,88941,apex
305986,120217,apex
240450,307090,apex
142143,187489,apex
207669,325798,apex
240307,179581,apex
76581,195358,apex
109295,225072,apex
109295,252703,apex
305874,227659,apex
207569,291515,apex
240335,216282,apex
142030,95296,apex
207561,157345,apex
76482,287192,apex
76482,83521,apex
76482,323736,apex
76564,119573,apex
273245,244156,apex
141548,175521,apex
108771,259842,apex
108271,174049,apex
272095,242245,apex
141017,89440,apex
272089,313809,apex
108248,184146,apex
75420,216286,apex
140927,206588,apex
206456,88323,apex
140911,241447,apex
108142,118576,apex
206587,125010,apex
206444,141963,apex
140887,284093,apex
173648,317329,apex
75295,293752,apex
304665,122398,apex
271878,218713,apex
271849,91358,apex
271784,183928,apex
107930,87800,apex
173466,154455,apex
173466,280366,apex
173669,144874,apex
108771,259785,apex
206587,247769,apex
304904,175794,apex
141487,80922,apex
305303,111435,apex
141439,285253,apex
108662,294335,apex
108662,185937,apex
75868,319988,apex
108633,193811,apex
272449,256174,apex
206845,223283,apex
141304,259490,apex
206587,90929,apex
272325,325720,apex
272325,310030,apex
272325,120490,apex
272325,285106,apex
272325,152978,apex
206763,116109,apex
75684,182677,apex
272284,306391,apex
108403,214528,apex
206684,261524,apex
239370,84347,apex
272325,280631,apex
213016,193661,apex
273281,111225,apex
174989,293017,apex
307182,315755,apex
110566,249443,apex
274356,191667,apex
110516,224797,apex
175949,91511,apex
241438,80281,apex
306925,86880,apex
274149,309807,apex
241344,327565,apex
274099,79131,apex
241650,95596,apex
175794,319929,apex
175794,256562,apex
208555,251108,apex
175758,129604,apex
142959,256931,apex
274030,127435,apex
142905,241344,apex
142900,282758,apex
175652,86555,apex
175652,92226,apex
175644,315755,apex
175794,320040,apex
208387,242245,apex
208904,179193,apex
241683,310171,apex
274836,211509,apex
307587,90849,apex
110962,252140,apex
78187,243910,apex
242021,219230,apex
209238,192512,apex
176467,275920,apex
241959,253294,apex
176403,252363,apex
307475,83079,apex
241683,320937,apex
143622,243996,apex
307404,250360,apex
78025,315375,apex
176316,126985,apex
241837,149957,apex
77951,227949,apex
143474,292781,apex
143465,226919,apex
176214,177449,apex
307256,246147,apex
208943,176345,apex
78039,151788,apex
240513,219869,apex
77302,225327,apex
241087,275533,apex
142533,78450,apex
142533,242363,apex
208030,326249,apex
76950,157385,apex
175201,274849,apex
109650,155725,apex
273482,217564,apex
76871,147698,apex
306231,190432,apex
175159,147290,apex
109786,147511,apex
175145,156885,apex
109561,152821,apex
207831,286015,apex
175032,192389,apex
142229,284722,apex
174989,190339,apex
174989,210995,apex
174989,221277,apex
174989,125388,apex
174989,314659,apex
174989,146144,apex
273408,89569,apex
208372,215258,apex
208102,112715,apex
77042,315808,apex
241061,282465,apex
109970,193353,apex
109968,124286,apex
208243,275533,apex
77157,190724,apex
77153,323104,apex
77153,150168,apex
77153,124853,apex
77153,288099,apex
77153,182015,apex
175340,157385,apex
77153,94968,apex
142672,146716,apex
208192,321962,apex
208162,162312,apex
208162,144078,apex
208162,119903,apex
208162,130291,apex
208162,113866,apex
208162,91202,apex
208162,85899,apex
208162,195970,apex
109912,155793,apex
213016,228237,apex
213018,293208,apex
81980,127435,apex
318549,195358,apex
187398,229080,apex
220076,325785,apex
154519,228183,apex
187163,94033,apex
285397,326277,apex
285397,256865,apex
154277,90208,apex
88734,223754,apex
317933,127435,apex
187478,293752,apex
252381,226896,apex
88536,260853,apex
88536,190149,apex
317904,95296,apex
252363,221900,apex
252363,162566,apex
285049,285954,apex
186742,162334,apex
186742,256907,apex
186742,286970,apex
219493,155762,apex
154075,187251,apex
219493,155822,apex
220257,227949,apex
154733,127435,apex
122899,292453,apex
155553,287326,apex
89964,260152,apex
188219,128654,apex
286521,127435,apex
155404,320725,apex
155378,226918,apex
220719,227920,apex
89634,127981,apex
89569,322256,apex
318565,318597,apex
253386,127859,apex
187801,227498,apex
253294,194236,apex
154960,259711,apex
89394,222159,apex
154894,96877,apex
285954,225732,apex
285942,127435,apex
122093,294375,apex
122093,162811,apex
121989,129604,apex
253386,96196,apex
90259,255240,apex
153900,262005,apex
88207,220957,apex
218622,221300,apex
153064,252867,apex
153064,287418,apex
153064,256111,apex
284116,317465,apex
316789,252363,apex
218469,256174,apex
283997,259121,apex
120063,290169,apex
152821,229267,apex
218622,319110,apex
152821,255975,apex
152821,123694,apex
152821,95380,apex
152821,93497,apex
152821,318605,apex
152821,190077,apex
152821,95935,apex
152821,294435,apex
185584,187483,apex
119983,160002,apex
283816,253829,apex
152821,322635,apex
317601,326647,apex
185861,285149,apex
185868,158095,apex
88207,193684,apex
153696,154849,apex
219230,224319,apex
219230,319000,apex
251972,160962,apex
186422,222159,apex
88059,253925,apex
186360,320864,apex
120817,155458,apex
153504,195489,apex
316937,123789,apex
120694,96324,apex
284397,130756,apex
120523,96606,apex
251591,190790,apex
284353,285310,apex
284353,294757,apex
120487,89569,apex
317071,227846,apex
185899,159845,apex
153112,190752,apex
185878,257068,apex
87800,188154,apex
283816,162814,apex
155803,227949,apex
319671,162809,apex
127415,260706,apex
192600,96877,apex
126851,195578,apex
159574,127435,apex
323400,228207,apex
159559,195560,apex
94017,259121,apex
192268,225699,apex
192096,326789,apex
192021,127435,apex
127435,160584,apex
322934,290169,apex
257068,290508,apex
257068,293238,apex
158757,293208,apex
191520,163333,apex
191512,193626,apex
289770,259345,apex
256914,294897,apex
223974,95702,apex
191152,127981,apex
92594,94841,apex
289994,227318,apex
256398,194484,apex
127435,294486,apex
127435,95186,apex
130750,294897,apex
228568,327116,apex
293752,326745,apex
195309,195461,apex
260805,98082,apex
162050,260601,apex
227193,162582,apex
96063,260460,apex
292539,293283,apex
95912,162626,apex
127435,94791,apex
161142,261650,apex
259358,130271,apex
161036,293208,apex
259121,261059,apex
95280,96794,apex
136166,325594,apex
226327,228215,apex
258903,193933,apex
291480,160876,apex
324189,96606,apex
258619,127889,apex
292188,96411,apex
155820,294897,apex
190790,294884,apex
125242,161807,apex
189670,190195,apex
156739,290458,apex
156703,260460,apex
189455,192815,apex
254979,291941,apex
222159,258522,apex
156604,163020,apex
189363,127435,apex
254719,124951,apex
90848,194519,apex
288011,294499,apex
90835,195465,apex
189057,227066,apex
189055,327116,apex
90668,288572,apex
254482,257225,apex
319988,256340,apex
319988,226684,apex
254319,259121,apex
287080,262113,apex
188657,288255,apex
90345,327088,apex
254652,189259,apex
125242,97324,apex
156990,293272,apex
189847,227318,apex
289044,258651,apex
157935,293752,apex
256177,327116,apex
256174,260228,apex
223342,128707,apex
190502,94328,apex
190452,223640,apex
92133,256174,apex
157651,95639,apex
288716,224967,apex
255310,127435,apex
321429,325818,apex
288559,294897,apex
190227,294897,apex
321284,223690,apex
157385,97716,apex
157385,293444,apex
157385,130377,apex
157385,225862,apex
321187,227546,apex
222823,293208,apex
222696,127435,apex
92029,291941,apex
173466,308178,apex
250985,125145,apex
218138,127435,apex
214666,287434,apex
280181,158279,apex
280181,83747,apex
214615,259786,apex
116289,190790,apex
181817,153064,apex
214514,288716,apex
116203,117956,apex
116203,326560,apex
116203,90574,apex
149149,196107,apex
116203,120724,apex
280021,292361,apex
116148,257068,apex
116131,252363,apex
83359,193615,apex
116054,155138,apex
116054,156249,apex
115993,121653,apex
279827,215950,apex
83207,215127,apex
148676,294391,apex
116192,127435,apex
214199,259121,apex
247468,315264,apex
116432,184146,apex
149742,152821,apex
182503,224712,apex
116956,190545,apex
84146,186490,apex
280743,316937,apex
116895,226384,apex
280728,151970,apex
84100,223342,apex
149630,152821,apex
247878,316583,apex
149194,284093,apex
280627,315755,apex
215058,127981,apex
247796,225465,apex
215005,159103,apex
182219,321791,apex
116672,223638,apex
280509,184425,apex
247659,127981,apex
149333,124277,apex
313113,128183,apex
182002,86446,apex
83987,183178,apex
182515,190072,apex
279703,325758,apex
181339,320915,apex
148073,93476,apex
148073,121316,apex
213585,290851,apex
180816,285762,apex
180805,251708,apex
279088,120243,apex
148009,227318,apex
115186,152821,apex
279011,149554,apex
246240,184146,apex
311942,279703,apex
213393,220801,apex
147853,90348,apex
246147,321015,apex
180608,315755,apex
82248,127435,apex
311597,219230,apex
147698,323945,apex
147698,96591,apex
147698,86286,apex
213176,261707,apex
213086,148073,apex
213393,85275,apex
279703,125647,apex
180907,281497,apex
115415,227796,apex
181339,219380,apex
246812,122093,apex
312305,194377,apex
312305,281502,apex
82919,227535,apex
279514,116895,apex
312269,220407,apex
148411,90486,apex
115642,116404,apex
213927,156336,apex
180907,189498,apex
312221,247759,apex
148346,193725,apex
148325,283506,apex
181093,161783,apex
246612,87256,apex
246605,154277,apex
82752,262005,apex
115518,325798,apex
279352,291111,apex
148251,287434,apex
115415,225214,apex
246671,82951,apex
152612,226230,apex
182535,226831,apex
313705,250229,apex
119052,291515,apex
86257,287025,apex
315611,288866,apex
315607,98023,apex
250048,321031,apex
86205,153584,apex
282743,326694,apex
282685,287080,apex
249911,161611,apex
282670,95296,apex
315739,256516,apex
315368,124343,apex
216972,125730,apex
249689,89221,apex
249689,121809,apex
249689,154655,apex
216920,157385,apex
184146,194568,apex
184146,124922,apex
282391,258619,apex
85733,96877,apex
184016,151345,apex
118711,226086,apex
85654,193234,apex
315755,259745,apex
217495,129604,apex
152602,254154,apex
283649,90578,apex
283647,94658,apex
316386,188372,apex
185313,123315,apex
218025,258536,apex
152452,253858,apex
316276,156739,apex
217970,155164,apex
152408,122787,apex
315755,185714,apex
316111,127435,apex
250499,293283,apex
217724,250508,apex
152159,163084,apex
283192,293752,apex
217564,90351,apex
119258,127435,apex
86446,153150,apex
86446,193964,apex
86446,260869,apex
217517,222159,apex
250538,191512,apex
248126,288037,apex
216641,219180,apex
85543,93568,apex
248809,323153,apex
117676,294897,apex
183196,160552,apex
215955,321031,apex
314248,127981,apex
117634,314392,apex
281461,224978,apex
248693,127981,apex
150326,159022,apex
84787,87800,apex
216055,92052,apex
215734,249689,apex
281245,319503,apex
281245,86252,apex
117397,187508,apex
182885,225684,apex
117243,224677,apex
182767,93404,apex
281063,96946,apex
117199,127435,apex
182654,129252,apex
313705,321967,apex
215714,191599,apex
118317,288978,apex
216080,258841,apex
216098,128474,apex
216595,127981,apex
282121,317280,apex
216567,184274,apex
150999,188329,apex
118227,218810,apex
183739,127435,apex
314810,122093,apex
314728,290002,apex
150781,287769,apex
314603,292928,apex
314389,216286,apex
281831,260460,apex
216286,162490,apex
216286,91800,apex
216282,218160,apex
183503,250184,apex
281783,318078,apex
314510,291338,apex
314510,249825,apex
85107,323299,apex
248916,155801,apex
85050,151049,apex
216286,318873,apex
173466,193536,apex
281245,253044,apex
173441,93290,apex
133768,91753,apex
297605,127435,apex
330359,127981,apex
100972,166840,apex
100972,250663,apex
100972,291541,apex
100972,206883,apex
100972,115144,apex
100972,179063,apex
100972,297597,apex
100972,126392,apex
100972,176927,apex
100972,148929,apex
264790,276100,apex
264783,266673,apex
264761,171484,apex
264763,274836,apex
199206,174596,apex
264742,316871,apex
199194,265341,apex
330254,236991,apex
133768,148273,apex
199327,256344,apex
232097,283506,apex
199407,327116,apex
101286,190545,apex
199589,177036,apex
199589,136910,apex
134044,148551,apex
134044,86336,apex
134044,81767,apex
330650,178905,apex
101268,93568,apex
297873,93202,apex
232313,81431,apex
133635,181827,apex
134005,191729,apex
330604,134165,apex
330604,142007,apex
199503,142900,apex
133957,319671,apex
232226,275533,apex
199457,290511,apex
264979,97443,apex
264979,260965,apex
101129,167495,apex
133873,243641,apex
330604,140243,apex
297461,321977,apex
231902,105282,apex
297429,316982,apex
231524,155235,apex
231524,118600,apex
329812,326008,apex
231504,318995,apex
231490,155128,apex
264250,147244,apex
100407,153574,apex
133160,92902,apex
165923,134044,apex
231434,106841,apex
231524,188279,apex
231434,257240,apex
100358,267976,apex
165886,255542,apex
133115,141397,apex
100334,275341,apex
100331,219143,apex
133068,95639,apex
100296,86858,apex
329625,266184,apex
198553,175794,apex
100243,226230,apex
231434,143678,apex
199593,168112,apex
264298,323108,apex
231567,232897,apex
133584,103142,apex
100800,211084,apex
133563,163466,apex
166324,176125,apex
100772,227266,apex
133537,290280,apex
166297,293208,apex
166281,189812,apex
231740,84006,apex
100664,235376,apex
100471,256174,apex
297268,174034,apex
166154,218810,apex
166141,248939,apex
166141,229270,apex
198908,200724,apex
166139,269820,apex
297187,191048,apex
133307,74983,apex
329909,176588,apex
100527,77482,apex
133288,154471,apex
231727,308917,apex
265129,223183,apex
166854,239218,apex
232391,120217,apex
233333,274395,apex
266091,76482,apex
298855,177716,apex
298850,127435,apex
167771,320365,apex
102226,253360,apex
298834,76482,apex
134968,91474,apex
102162,311896,apex
102151,149850,apex
233350,267323,apex
69383,81904,apex
69383,257789,apex
69383,127803,apex
69383,90703,apex
69383,266627,apex
69383,273105,apex
298752,281701,apex
200385,90099,apex
200369,313145,apex
233095,168494,apex
200323,312965,apex
69383,185143,apex
298610,208925,apex
135063,305402,apex
69537,140290,apex
168112,108244,apex
266405,187655,apex
299147,149307,apex
102531,82317,apex
135287,275520,apex
168054,216696,apex
135264,73993,apex
299089,313619,apex
168004,307587,apex
102451,74658,apex
69537,240411,apex
102432,274836,apex
266214,281415,apex
266214,181728,apex
266214,98015,apex
167909,150764,apex
69602,107898,apex
266198,293914,apex
102354,86858,apex
135097,187637,apex
135075,173554,apex
102305,175278,apex
69623,96522,apex
198540,301295,apex
134735,251065,apex
167495,110364,apex
200025,103508,apex
199969,299584,apex
232735,127435,apex
331025,138769,apex
134411,312254,apex
199922,232814,apex
101611,210500,apex
265435,294183,apex
298195,214420,apex
199888,147698,apex
232814,242354,apex
199869,273968,apex
265341,298324,apex
330872,207444,apex
330872,175898,apex
330858,104228,apex
330857,291614,apex
166985,224978,apex
232512,260460,apex
232494,70107,apex
330742,193296,apex
232400,152821,apex
298118,69905,apex
167495,155366,apex
232814,244489,apex
232814,277507,apex
167495,254764,apex
167495,174994,apex
167495,203651,apex
167495,270834,apex
167495,300111,apex
167495,171427,apex
331326,195974,apex
167485,235710,apex
331308,71778,apex
101908,139797,apex
232814,184449,apex
101873,236751,apex
134620,247799,apex
167354,209043,apex
134545,177848,apex
298381,140177,apex
298378,254791,apex
134527,167741,apex
265597,227221,apex
232822,161064,apex
232814,119171,apex
232814,114253,apex
134627,143302,apex
329612,304052,apex
100212,210500,apex
165748,174768,apex
164317,320468,apex
164317,129919,apex
295379,225465,apex
328108,106247,apex
295311,140177,apex
295282,181805,apex
131441,216232,apex
262505,169000,apex
262491,219756,apex
164182,116895,apex
164317,154492,apex
295247,238546,apex
295247,250403,apex
295247,114359,apex
295247,128037,apex
295247,129176,apex
295247,264920,apex
295247,271015,apex
295247,162172,apex
295247,159394,apex
295247,109874,apex
295247,171187,apex
295247,139854,apex
295247,189143,apex
131552,287061,apex
262632,268080,apex
164531,80487,apex
328361,77532,apex
328361,263299,apex
328361,328684,apex
328361,179834,apex
197286,288209,apex
197279,266736,apex
98960,106250,apex
164485,127981,apex
295543,156739,apex
295395,307273,apex
98930,234232,apex
164447,97619,apex
295513,190790,apex
164441,70997,apex
131667,161783,apex
262721,218005,apex
197147,152821,apex
131604,221732,apex
131604,280514,apex
131604,200879,apex
229865,241519,apex
295534,215595,apex
131781,157385,apex
295247,313315,apex
295247,321674,apex
164061,217582,apex
229596,262445,apex
229596,277917,apex
229596,261446,apex
229596,243038,apex
229596,306638,apex
229596,98107,apex
229596,178647,apex
229572,138575,apex
98499,282726,apex
164084,210500,apex
262331,247438,apex
295017,144570,apex
163908,221008,apex
294980,249154,apex
196653,153906,apex
294955,325196,apex
163881,127435,apex
163862,227193,apex
327697,298212,apex
163851,192058,apex
238986,275938,apex
164023,174989,apex
295247,163379,apex
229645,258651,apex
196919,82308,apex
295247,238099,apex
295247,314802,apex
295247,238251,apex
295247,87356,apex
295247,246068,apex
295247,111213,apex
295247,294763,apex
295246,170681,apex
229707,137444,apex
98622,285513,apex
98595,166141,apex
98622,80039,apex
98622,206875,apex
98622,256379,apex
295228,144994,apex
229689,120015,apex
229689,321879,apex
229689,130859,apex
229689,96142,apex
229689,185537,apex
229689,169461,apex
229689,146219,apex
98622,232840,apex
168112,171027,apex
197318,222626,apex
328430,134701,apex
165422,135390,apex
132647,89569,apex
263712,320555,apex
296472,210541,apex
230923,212623,apex
263662,202311,apex
329170,178065,apex
329169,320506,apex
329126,323272,apex
198041,166141,apex
198196,116203,apex
329096,82052,apex
99709,294897,apex
132475,158848,apex
132468,325798,apex
263538,116203,apex
165175,97332,apex
230656,248792,apex
263416,83191,apex
197878,242245,apex
296181,323564,apex
328945,236331,apex
230790,222155,apex
230634,269988,apex
99897,139704,apex
329305,184684,apex
329558,115828,apex
264005,294282,apex
231232,152821,apex
263987,194153,apex
100144,245046,apex
100144,117186,apex
100144,315207,apex
100144,279986,apex
132907,273358,apex
329512,292464,apex
198219,139704,apex
231204,309689,apex
132880,249911,apex
100101,304751,apex
263920,232458,apex
263913,285397,apex
198344,171484,apex
198329,323439,apex
329397,202274,apex
100016,70466,apex
231059,156443,apex
329317,259358,apex
165655,89569,apex
131785,88536,apex
328926,275936,apex
197840,249885,apex
197578,120082,apex
197578,270912,apex
197578,81377,apex
164808,329436,apex
164808,251961,apex
164808,127826,apex
164808,257411,apex
295878,275936,apex
197562,301125,apex
197560,314057,apex
328652,300332,apex
164779,275936,apex
295823,301144,apex
131972,187801,apex
131927,74178,apex
131924,116895,apex
230212,301347,apex
131885,288126,apex
230184,301213,apex
262937,232814,apex
131838,275533,apex
230133,182277,apex
197530,298511,apex
328920,150582,apex
328656,252042,apex
328656,267622,apex
296140,171484,apex
230592,184975,apex
132271,103707,apex
296094,95296,apex
165019,151888,apex
165017,205280,apex
296073,198575,apex
296073,304699,apex
296073,195240,apex
296073,151869,apex
328656,113966,apex
263281,211638,apex
263242,319671,apex
230435,120217,apex
132113,160913,apex
164868,149528,apex
230396,208162,apex
230388,286384,apex
164850,230402,apex
164848,199424,apex
197599,290078,apex
328656,183701,apex
197723,175794,apex
168112,155326,apex
328881,115826,apex
233660,113938,apex
171484,278916,apex
171484,79911,apex
171484,109316,apex
171471,294897,apex
237004,159845,apex
73161,327518,apex
236991,108371,apex
236991,191199,apex
236991,255747,apex
302510,191748,apex
171484,145887,apex
269712,252404,apex
73096,173648,apex
138617,237907,apex
138599,83415,apex
269664,303540,apex
73028,216282,apex
171318,255240,apex
171317,227949,apex
269616,115164,apex
236845,129674,apex
302342,216571,apex
302479,315446,apex
269541,147294,apex
138738,175652,apex
237061,80909,apex
237464,89613,apex
171924,240513,apex
139134,275533,apex
73595,317971,apex
139120,193787,apex
204641,241430,apex
204601,252404,apex
73516,139489,apex
237347,278994,apex
106263,162706,apex
204285,141833,apex
237321,183928,apex
237255,147544,apex
73382,144827,apex
204447,312785,apex
204447,188222,apex
106097,224956,apex
237160,125316,apex
237160,244076,apex
138846,308144,apex
106074,226532,apex
106029,94567,apex
73463,227465,apex
270233,293752,apex
302294,278994,apex
105664,243165,apex
72448,308676,apex
236280,156295,apex
105202,314498,apex
301770,88207,apex
105155,153856,apex
268969,127314,apex
301715,319988,apex
170646,97467,apex
301716,278994,apex
170622,116895,apex
301825,177449,apex
236154,147698,apex
105023,142039,apex
105013,114549,apex
236082,241795,apex
301554,180448,apex
72172,270515,apex
137704,91656,apex
72152,213016,apex
170429,189828,apex
170407,191519,apex
137639,259121,apex
72271,90166,apex
269507,275020,apex
105237,175794,apex
105263,190952,apex
138422,93248,apex
171156,89569,apex
269453,112381,apex
72832,76482,apex
203891,74778,apex
302112,309597,apex
72729,320216,apex
72719,227008,apex
236534,223335,apex
236509,109446,apex
301853,241714,apex
269219,111144,apex
203628,222159,apex
170841,181339,apex
236375,125203,apex
203594,245611,apex
203594,149688,apex
105282,310228,apex
105282,224388,apex
269114,253386,apex
105267,236915,apex
203569,125242,apex
203676,76482,apex
137627,76482,apex
303002,163328,apex
73637,224486,apex
238606,278994,apex
205833,216768,apex
173058,257584,apex
238551,114952,apex
238551,318808,apex
238551,219954,apex
238551,187150,apex
271305,308981,apex
205736,224580,apex
140194,144458,apex
140323,174045,apex
140193,83542,apex
304023,80487,apex
172939,128137,apex
74630,117482,apex
107363,129402,apex
303962,260408,apex
140098,244106,apex
271149,84879,apex
205595,88355,apex
271129,177667,apex
107271,90338,apex
140193,187960,apex
271108,312864,apex
205900,190790,apex
205943,208102,apex
107897,195358,apex
168112,82622,apex
238964,77789,apex
238964,321342,apex
238964,97325,apex
304476,93830,apex
238910,152523,apex
238884,83284,apex
238882,146436,apex
206112,180708,apex
74866,251658,apex
304385,176669,apex
74983,79271,apex
74983,120625,apex
74983,153502,apex
74983,254700,apex
304351,93960,apex
206021,75393,apex
173242,143462,apex
74936,283592,apex
140471,216286,apex
205970,284353,apex
206064,227018,apex
171937,158604,apex
107255,179193,apex
74433,224978,apex
106890,112620,apex
106890,272943,apex
106890,289885,apex
237956,279696,apex
303477,127435,apex
205168,291409,apex
237907,212875,apex
237907,121178,apex
303442,152821,apex
106832,92902,apex
106890,308856,apex
237784,275189,apex
106700,307587,apex
204942,306051,apex
270443,286015,apex
237670,156158,apex
237659,147244,apex
172100,313809,apex
237571,151844,apex
270338,281245,apex
106457,94352,apex
204741,95265,apex
73939,108648,apex
205554,287434,apex
106890,155044,apex
270738,325079,apex
205487,88241,apex
107149,291515,apex
205438,98240,apex
205399,324003,apex
238153,157385,apex
107074,123919,apex
303682,211995,apex
172577,142132,apex
139797,127712,apex
74242,307505,apex
303506,178535,apex
205292,243517,apex
238050,320956,apex
74187,249911,apex
303558,208162,apex
238021,191635,apex
270785,147294,apex
205230,260323,apex
270756,224342,apex
303512,177084,apex
106899,139683,apex
270738,178029,apex
238060,187355,apex
72083,206587,apex
106890,181755,apex
72075,214248,apex
136174,284494,apex
201701,280181,apex
168932,316657,apex
70623,129532,apex
103381,227193,apex
70612,127981,apex
70606,249196,apex
267212,95530,apex
103364,175794,apex
234433,153056,apex
103406,261182,apex
136115,145295,apex
103313,258536,apex
136076,73866,apex
103295,243395,apex
168823,179193,apex
267104,192512,apex
234313,119988,apex
168773,269495,apex
267051,255240,apex
103200,255782,apex
234242,279935,apex
103343,319032,apex
234242,275830,apex
70651,242849,apex
70651,87328,apex
201974,324362,apex
300252,273930,apex
103623,235067,apex
136354,146283,apex
103584,312746,apex
70815,309445,apex
169077,278994,apex
136298,140722,apex
300120,208646,apex
103508,189037,apex
70651,76219,apex
103508,161641,apex
136274,120599,apex
267327,179193,apex
267323,169377,apex
70701,119573,apex
234521,148341,apex
234521,309402,apex
136195,202032,apex
136186,208331,apex
70651,127182,apex
70651,121243,apex
201811,309330,apex
103169,234521,apex
168702,81197,apex
168702,284482,apex
233978,250900,apex
266736,273478,apex
168383,179144,apex
168383,217077,apex
135584,275533,apex
102807,159076,apex
201106,80487,apex
102795,270320,apex
299395,208102,apex
102781,321598,apex
135686,89569,apex
233827,148539,apex
299349,95967,apex
168275,285397,apex
69864,127435,apex
69853,87373,apex
135377,119573,apex
102603,162003,apex
200902,126770,apex
170383,187948,apex
200894,175627,apex
200894,171566,apex
69978,170724,apex
266783,313735,apex
70230,228578,apex
70230,93315,apex
299772,261179,apex
234232,272504,apex
234232,194051,apex
234232,129643,apex
201462,227318,apex
168688,220598,apex
135906,75820,apex
234206,175277,apex
70321,85426,apex
70318,97863,apex
70318,302444,apex
70318,203181,apex
299683,106286,apex
168609,152396,apex
168601,76482,apex
103054,161625,apex
135810,71630,apex
234113,156190,apex
299643,181510,apex
299625,172361,apex
103015,266983,apex
